common_name;scientific_name;start_time;end_time;confidence;label;filepath;filename;validScientificNameId;Species_NorwegianName;Family_ScientificName;Family_NorwegianName;Order_ScientificName;Order_NorwegianName;Family_ScientificNameId;Order_ScientificNameId;Species_ScientificNameId;Redlist_Status
Common Chiffchaff;Phylloscopus collybita;471.0;474.0;0.7312338352203369;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
Reed Bunting;Emberiza schoeniclus;486.0;489.0;0.8683837652206421;Emberiza schoeniclus_Reed Bunting;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4208;sivspurv;Emberizidae;buskspurvfamilien;Passeriformes;spurvefugler;;;4208;LC
European Pied Flycatcher;Ficedula hypoleuca;492.0;495.0;0.866449773311615;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
Common Chiffchaff;Phylloscopus collybita;501.0;504.0;0.6940346956253052;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
European Pied Flycatcher;Ficedula hypoleuca;507.0;510.0;0.6983334422111511;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
European Pied Flycatcher;Ficedula hypoleuca;528.0;531.0;0.9736256003379822;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
Common Chiffchaff;Phylloscopus collybita;534.0;537.0;0.7125698924064636;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
European Pied Flycatcher;Ficedula hypoleuca;537.0;540.0;0.7969725131988525;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
Common Chiffchaff;Phylloscopus collybita;558.0;561.0;0.942345917224884;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
Common Chiffchaff;Phylloscopus collybita;570.0;573.0;0.7211861610412598;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
European Pied Flycatcher;Ficedula hypoleuca;573.0;576.0;0.8617076873779297;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
Common Chiffchaff;Phylloscopus collybita;582.0;585.0;0.7355377078056335;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
European Pied Flycatcher;Ficedula hypoleuca;591.0;594.0;0.8871529698371887;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
Common Chiffchaff;Phylloscopus collybita;609.0;612.0;0.7167641520500183;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
Common Chiffchaff;Phylloscopus collybita;621.0;624.0;0.7754673957824707;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
Willow Tit;Poecile montanus;642.0;645.0;0.9739513397216797;Poecile montanus_Willow Tit;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4382;granmeis;Paridae;meisefamilien;Passeriformes;spurvefugler;;;4382;VU
Willow Tit;Poecile montanus;654.0;657.0;0.914445698261261;Poecile montanus_Willow Tit;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4382;granmeis;Paridae;meisefamilien;Passeriformes;spurvefugler;;;4382;VU
Willow Tit;Poecile montanus;657.0;660.0;0.8069728016853333;Poecile montanus_Willow Tit;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4382;granmeis;Paridae;meisefamilien;Passeriformes;spurvefugler;;;4382;VU
Common Chiffchaff;Phylloscopus collybita;660.0;663.0;0.7612589597702026;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
Common Chiffchaff;Phylloscopus collybita;672.0;675.0;0.8706908822059631;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
Willow Tit;Poecile montanus;675.0;678.0;0.7921993136405945;Poecile montanus_Willow Tit;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4382;granmeis;Paridae;meisefamilien;Passeriformes;spurvefugler;;;4382;VU
Common Chiffchaff;Phylloscopus collybita;684.0;687.0;0.9756153225898743;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
European Pied Flycatcher;Ficedula hypoleuca;693.0;696.0;0.9977001547813416;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
Common Chiffchaff;Phylloscopus collybita;696.0;699.0;0.7081221342086792;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
